"authorstr","Year","Source.title","Cited.by"
"Sanjivkumar M. et al.","2018","Waste and Biomass Valorization",12
"Shiau Y.-J. et al.","2017","Estuarine, Coastal and Shelf Science",12
"Wang Y. et al.","2017","Journal of Antibiotics",12
"Begam M.M. et al.","2017","Hydrobiologia",12
"Lau N.-S. et al.","2017","Standards in Genomic Sciences",12
"Haque M.U. et al.","2016","Journal of Applied Pharmaceutical Science",12
"Hofmann C.-C. et al.","2012","Austrian Journal of Earth Sciences",12
"Orji F.A. et al.","2013","American Journal of Environmental Sciences",12
"Kaur N. et al.","2014","Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology",12
"Ho H.-H. et al.","2012","Botanical Studies",12
"Das S. et al.","2014","Geomicrobiology Journal",12
"Brooks S. et al.","2022","Current Microbiology",11
"Zhao Y. et al.","2019","Forests",11
"Mukherji S. et al.","2020","Ecotoxicology and Environmental Safety",11
"Van Thuoc D. et al.","2019","Annals of Microbiology",11
"Luo L. et al.","2018","International Biodeterioration and Biodegradation",11
"Rigonato J. et al.","2018","Brazilian Journal of Microbiology",11
"Saravanakumar K. et al.","2016","Biocatalysis and Agricultural Biotechnology",11
"Balakrishnan S. et al.","2017","Journal of Parasitic Diseases",11
"Zhang D.-C. and Margesin R.","2014","International Journal of Systematic and Evolutionary Microbiology",11
"Adams R.H. et al.","2015","Sains Malaysiana",11
"Jiménez D.J. et al.","2015","Microbial Biotechnology",11
"Laanbroek H.J. et al.","2013","Frontiers in Microbiology",11
"Duarte R.T.D. et al.","2012","International Journal of Astrobiology",11
"Ruiz-Marín A. et al.","2013","Revista Mexicana de Ingeniera Quimica",11
"Yateem A. and Al-Sharrah T.","2011","Soil and Sediment Contamination",11
"Bharathkumar S. et al.","2008","Journal of Basic Microbiology",11
"Kumar T. et al.","2008","Biotechnic and Histochemistry",11
"SWART H.J.","1963","Acta Botanica Neerlandica",11
"Tan C.J. et al.","2002","Asia-Pacific Journal of Molecular Biology and Biotechnology",11
"Tong T. et al.","2021","Science of the Total Environment",10
"Kim J. et al.","2021","Science of the Total Environment",10
"Li R.K. et al.","2020","International Journal of Biological Macromolecules",10
"Muñoz-García A. et al.","2019","Environmental Pollution",10
"Prathiba S. and Jayaraman G.","2018","Preparative Biochemistry and Biotechnology",10
"Das S. et al.","2018","Marine Ecology",10
"Retnowati Y. et al.","2018","Biodiversitas",10
"Jami M. et al.","2016","International Journal of Systematic and Evolutionary Microbiology",10
"Suksaard P. et al.","2015","International Journal of Systematic and Evolutionary Microbiology",10
"Mai Z. et al.","2016","Catalysts",10
"Reef R. et al.","2012","Journal of Tropical Ecology",10
"Sánchez-Arias L.E. et al.","2010","Revista de Biologia Tropical",10
"Zhao C. and Ruan L.","2011","Applied Microbiology and Biotechnology",10
"Lu Q.-P. et al.","2021","Marine Drugs",9
"Gao G.-F. et al.","2021","Applied and Environmental Microbiology",9
"Ye Y.-H. et al.","2020","Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology",9
"Minu A. et al.","2020","Applied Geochemistry",9
"Inoue T. et al.","2020","Annals of Botany",9
"Zhang L. et al.","2018","International Journal of Systematic and Evolutionary Microbiology",9
"Ye Y. et al.","2019","International Journal of Systematic and Evolutionary Microbiology",9
"Hao L. et al.","2019","Phytopathology",9
"Tognella M.M.P. et al.","2016","Brazilian Journal of Biology",9
"Ganguli S. et al.","2017","Genomics Data",9
"Stabnikov V. and Ivanov V.","2017","Journal of Chemical Technology and Biotechnology",9
"Das S. et al.","2016","Geomicrobiology Journal",9
"Baskar B. and Prabakaran P.","2015","Indian Journal of Geo-Marine Sciences",9
